SRH,1,RCB,0,20170405
RPS,1,MI,0,20170406
KKR,1,GL,0,20170407
KXIP,1,RPS,0,20170408
RCB,1,DD,0,20170408
SRH,1,GL,0,20170409
MI,1,KKR,0,20170409
KXIP,1,RCB,0,20170410
DD,1,RPS,0,20170411
MI,1,SRH,0,20170412
KKR,1,KXIP,0,20170413
MI,1,RCB,0,20170414
GL,1,RPS,0,20170414
KKR,1,SRH,0,20170415
DD,1,KXIP,0,20170415
MI,1,GL,0,20170416
RPS,1,RCB,0,20170416
KKR,1,DD,0,20170417
SRH,1,KXIP,0,20170417
RCB,1,GL,0,20170418
SRH,1,DD,0,20170419
MI,1,KXIP,0,20170420
GL,1,KKR,0,20170421
RPS,1,SRH,0,20170422
MI,1,DD,0,20170422
KXIP,1,GL,0,20170423
KKR,1,RCB,0,20170423
RPS,1,MI,0,20170424
